name,rating,price,url,description,instruction,country
Духи концентрированные Zielinski & Rozen  Black vanilla,4.6,2 200,https://goldapple.ru/19000004549-perfume-vanilla-blend,"Я хочу, чтобы парфюм трогал до глубины души, говорил о личности и отражал ее уникальность.
Эрез Розен 

Замысловатая ольфакторная книга, сюжет которой раскрывается новыми гранями на каждом человеке. Необычные сочетания нот и оригинальное построение аккордов подчеркивают индивидуальность и раскрывают суть ярче любых слов. 

Все ароматы Zielinski&Rozen категории унисекс.",Наносите парфюм по обе стороны плеч или распылите впереди себя и войдите в «облако» аромата.,Россия
Ароматическая свеча Mark Buxton  gaiac & violet,-,3 850,https://goldapple.ru/19000191219-gaiac-violet,"Стильная черная свеча Mark Buxton украшает интерьер и наполняет помещение изысканным, гармоничным ароматом с нотами гваякового дерева и нежной фиалки. 
Время горения свечи – до 55 часов. 
Авторы парфюмерной композиции – Марк Бакстон и Дэвид Чизе. ",-,Франция
Парфюмерная вода ESSENTIAL PARFUMS PARIS  Bois imperial refillable limited edition,4.2,8 847,https://goldapple.ru/19000257262-bois-imperial-refillable-limited-edition,"Лимитированная версия аромата BOIS IMPERIAL — совместный выпуск ESSENTIAL PARFUMS и «Золотого Яблока».

Парфюмер – Quentin Bisch. «Центром созданного мной аромата стала необыкновенная и редкая нота – акигалвуд. Эта уникальная древесная нота, украшенная свежими специями, играет на контрастах». 

Чувственный и свежий аромат ESSENTIAL PARFUMS с древесными, пряными и зелеными аккордами дополняют насыщенный гаитянский ветивер, пачули и нота Ambrofix со стойким звучанием амбры. Свежие листья базилика сочетаются с игривым ароматом перца Тимут, который раскрывает не только острую грань, но и свежую ноту, напоминающую грейпфрут. В составе парфюмерной воды – 93% натуральных ингредиентов. 

Создатели ароматов ESSENTIAL PARFUMS выбирают натуральные, экологически чистые материалы и стремятся снизить воздействие на окружающую среду. 

Флакон парфюмерной воды подходит для многоразового использования, и его можно пополнять из рефила. ",Только для наружного применения.,Франция
Парфюмерная вода Affinessence  PATCHOULI-OUD Deluxe Wood Coffret,-,22 834,https://goldapple.ru/19000225168-patchouli-oud-deluxe-wood-coffret,"Выразительная композиция AFFINESSENCE из коллекции Notes de Fond (или Base Notes collection) построена вокруг истинного сокровища современной парфюмерии – натуральной ноты уда. 

Пачули помогают раскрыть новые грани этого ценного, благородного ингредиента и создать по-настоящему яркий, таинственный аромат. Этот гармоничный дуэт сопровождают ветивер, ладанник, элеми, гваяковое дерево и ладан – натуральные компоненты, пробуждающие скрытые чувства и усиливающие интригующий характер аромата с притягательным шлейфом.

Парфюмеры – Nicolas Bonneville и Sophie Bruneau.",Только для наружного применения,Франция
Парфюмерная вода Bvlgari  Allegra Dolce Estasi,5.0,14 880,https://goldapple.ru/19000010964-allegra-dolce-estasi,"Цветочный пудровый аромат Dolce Estasi – это посвящение нежности, ласке и заботе в мягких объятиях итальянской семьи. Нежная и успокаивающая композиция навевает сладкие воспоминания о традиционной местной выпечке и аппетитных пирожных. 

Утонченная парфюмерная вода из коллекции Bvlgari Allegra, раскрывающей яркость и глубину итальянских эмоций, легко касается кожи, как нежный поцелуй, и окутывает деликатной дымкой. Мечтательное благоухание цветов и кремовая сладость десерта дарят ощущение блаженства. Нота гелиотропа переплетается с восхитительной нежностью мускуса, придающего аромату пудровое послевкусие. 

Усилить звучание композиции и создать индивидуальное сочетание под своё настроение можно с помощью одной из эссенций коллекции Bvlgari Allegra, идеально дополняющих гармонию нот. Ваш персонализированный аромат начинается здесь! 


",-,Италия
Парфюмерная вода ESSENTIAL PARFUMS PARIS  ROSE MAGNETIC,4.6,2 529,https://goldapple.ru/83800100004-rose-magnetic,"Парфюмер – Sophie Labbé. «Я представляла дуэт эфирного масла розы и абсолюта турецкой розы. Сочетание, дополненное тонкой и чарующей базовой нотой мускуса, отражает многогранность и чувственность легендарного цветка».
В игривом, пленительном и современном аромате Rose Magnetic отражены все грани самого чувственного из цветов. С его яркой женственностью контрастируют ноты грейпфрута и свежей мяты. Личи, кедр, мускус и ваниль усиливают гипнотическую притягательность композиции, основа которой – турецкая роза. 
Создатели парфюмерной воды ESSENTIAL PARFUMS выбирают натуральные, экологически чистые материалы и стремятся снизить воздействие на окружающую среду. Компания улучшает условия выращивания роз в Турции и помогает местным общинам получать более высокий и стабильный доход.  


",-,Франция
Туалетная вода ICEBERG  CHANGE THE FLOW,4.6,1 565,https://goldapple.ru/19000127068-change-the-flow,"Туалетная вода CHANGE THE FLOW от ICEBERG – это смелый мужской аромат для бунтарей и для тех, кто готов нарушать принятые правила и устанавливать свои собственные. Композиция переливается от свежих и пряных верхних нот горького апельсина, шафрана и имбиря к насыщенной землисто-древесной базе, объединившей сандал, кедр и амбру. Чувственный и дерзкий характер аромата ярко выражен в его сердце, где громко заявляют о себе кожаный аккорд и нота табачных листьев. Этот свежий и бодрящий аромат воспевает поток перемен и подходит для тех, кто хочет жить полной жизнью.

",только для наружного применения,Италия
Шелковистый лосьон для тела I'm from  Yonnseul silky body lotion,5.0,2 320,https://goldapple.ru/19000247264-yonnseul-silky-body-lotion,"Лосьон увлажняет и питает кожу, устраняет сухость и шелушения. 
Средство дарит изысканный цитрусовый аромат и помогает поддерживать гладкость и упругость кожи тела.","После душа или ванны нанесите лосьон на чистую и сухую кожу тела, распределите легкими массирующими движениями.",Республика Корея
Духи Pantheon Roma  NOTTE D'AMORE,-,23 205,https://goldapple.ru/19000201896-notte-d-amore,"В аромате звучат зеленые ноты и далекие оттенки цитрусовых. Только прелюдия к тому, что приходит вскоре после этого: микс гениального уда и амбры, которые почти сливаются с запахом кожи. Чтобы рассказать страсть, которая потребляется затем разрежать к небу и в воздухе. Свежие ноты
и страстные одновременно, а может и одно за другим.
","Наносить на неповрежденные участки кожи, волос и одежду",Италия
Парфюмированная вода Ajmal  CERISE,5.0,8 625,https://goldapple.ru/19000120321-cerise,"“Аромат - это все, что нужно для путешествия во времени, такова связь между памятью и запахом""

Ajmal производит ароматы с 1951 года, и является производителем и всемирно известным поставщиком ряда наиболее дорогих эфирных масел. Весь накопленный опыт вылился в изысканной коллекции ароматов Prestige, характер которых «читается» с одного только взгляда – игра линий, цвета, фактуры флаконов, рассказывают о пышности или сдержанности звучания аромата, его акватической свежести или жарком зное, спортивности или романтичности его настроения, и о многом другом.

Женская парфюмерная вода CERISE от AJMAL. Необычная фруктовая композиция; обилие животных нот проявляется, как только тает сахар в сердце аромата, и чувственное напряжение начинает нарастать. Невинный поначалу, Cerise раскрывается полным обольстительной силы.

Композиция:
Апельсин, дыня, малина, красное яблоко;
Кокос, сахар, клубника;
Ваниль, амбра, мускус.","Только на чистую кожу. Наносите парфюм только на тело, не на одежду.  Наносить парфюм на несколько точек.. Никогда не растирайте парфюм, позвольте ароматным капелькам парфюмированной воды, самостоятельно впитаться в кожу. Тогда пирамида останется целой и невредимой , соответственно, раскроется в своей естественной последовательности",ОАЭ
Парфюмерная вода ATKINSONS  41 Burlington Arcade,3.7,15 525,https://goldapple.ru/82510800002-41-burlington-arcade,"Современный, чувственный и выразительный аромат получил название в честь флагманского бутика ATKINSONS, расположенного в лондонской торговой галерее Burlington Arcade. Композиция с нотами белого перца, лимона, лакричника, кардамона и мускатного ореха – это выбор английских денди и символ аристократичной элегантности. Сочетание сладких, древесных и дымных нот делает этот аромат выразительным и запоминающимся. В нем воплотился дух и колорит фешенебельного района Лондона.
 

",-,Италия
Парфюмерная Вода CHOPARD  Vetiver d'Haiti au The Vert,4.3,23 859,https://goldapple.ru/83290100004-vetiver-d-haiti-au-the-vert,"Парфюмерная вода Chopard Vtiver d hati au th vert — чувственный аромат для мужчин и женщин, на создание которого вдохновила чарующая атмосфера каннского фестиваля. 

Верхние ноты композиции раскрываются нежностью зеленого чая, удачно дополненного амбреттой. В сердце Vtiver d hati au th vert — теплый ветивер, оттененный кедровыми акцентами. В шлейфе парфюмерной воды переливается изящный мускусный аккорд.",Только для наружного применения.,Италия
Ароматическая свеча FOR ME by gold apple  My Mantra,3.0,2 610,https://goldapple.ru/19000125897-my-mantra,"Ароматическая свеча для идеального настроя.

Аромат My Mantra – это история медитации. Умиротворяющая дымность благовоний и шероховатые солнечные лучи, которые пробиваются через нее. Древесность индийского сандала переплетается с яркими нотами восточных пряностей и свежестью лемонграсса, успокаивая и настраивая на день. ","Зажечь фитиль. 
После использования погасить пламя. 
Для полного раскрытия аромата рекомендуется не гасить пламя, пока вся поверхность свечи не покроется расплавленным воском",Россия
Парфюмерная вода J.U.S Joyau Unique & Sensoriel  Sensoriel Ultrahot,-,7 850,https://goldapple.ru/19000153559-sensoriel-ultrahot,"Парфюмерная композиция J.U.S – словно пылкое танго чувственной ноты кожи и мистического, интригующего ладана с его смолистыми и свежими гранями. Мелодию страстного танца дополняет восточное звучание шафрана, которое делает композицию еще более яркой, насыщенной и богатой. Классификация аромата: пряный, древесный. Парфюмер – Aurélien Guichard.

",Для наружного применения.,Франция
